rpt_dt,age_gm,ncic,vic_num
1993,1,1101,47196
1994,1,1101,49561
1995,1,1101,38205
1996,1,1101,28399
1997,1,1101,50766
1998,1,1101,49005
1999,1,1101,56336
2000,1,1101,37159
2001,1,1101,59401
2002,1,1101,61670
2003,1,1101,0
2004,1,1101,25343
2005,1,1101,19843
2006,1,1101,21770
2007,1,1101,10454
2008,1,1101,7891
2009,1,1101,35538
2010,1,1101,28145
2011,1,1101,3961
2012,1,1101,23289
2013,1,1101,8103
2014,1,1101,2267
2015,1,1101,21922
2016,1,1101,3829
2017,1,1101,15968
2018,1,1101,24633
2019,1,1101,9935
2020,1,1101,2707
2021,1,1101,1387
2022,1,1101,17101
1993,1,1201,44832
1994,1,1201,35269
1995,1,1201,30451
1996,1,1201,17217
1997,1,1201,39928
1998,1,1201,35945
1999,1,1201,13268
2000,1,1201,12344
2001,1,1201,32397
2002,1,1201,5073
2003,1,1201,19164
2004,1,1201,3194
2005,1,1201,17213
2006,1,1201,58123
2007,1,1201,32676
2008,1,1201,50902
2009,1,1201,4359
2010,1,1201,2092
2011,1,1201,12603
2012,1,1201,2145
2013,1,1201,20314
2014,1,1201,8413
2015,1,1201,8440
2016,1,1201,0
2017,1,1201,3732
2018,1,1201,8952
2019,1,1201,0
2020,1,1201,9341
2021,1,1201,0
2022,1,1201,9424
1993,1,1301,135504
1994,1,1301,96742
1995,1,1301,64519
1996,1,1301,59739
1997,1,1301,85701
1998,1,1301,109796
1999,1,1301,69594
2000,1,1301,26926
2001,1,1301,28872
2002,1,1301,22511
2003,1,1301,34082
2004,1,1301,30915
2005,1,1301,19735
2006,1,1301,40041
2007,1,1301,11179
2008,1,1301,41111
2009,1,1301,64145
2010,1,1301,23037
2011,1,1301,22243
2012,1,1301,9306
2013,1,1301,17080
2014,1,1301,25864
2015,1,1301,34135
2016,1,1301,35696
2017,1,1301,7605
2018,1,1301,13462
2019,1,1301,8996
2020,1,1301,0
2021,1,1301,29634
2022,1,1301,8474
1993,1,1313,629099
1994,1,1313,820235
1995,1,1313,586566
1996,1,1313,471253
1997,1,1313,479545
1998,1,1313,351818
1999,1,1313,332784
2000,1,1313,238282
2001,1,1313,236647
2002,1,1313,261782
2003,1,1313,237402
2004,1,1313,217255
2005,1,1313,168663
2006,1,1313,178711
2007,1,1313,253120
2008,1,1313,160767
2009,1,1313,158245
2010,1,1313,96362
2011,1,1313,160120
2012,1,1313,225055
2013,1,1313,239922
2014,1,1313,128468
2015,1,1313,222088
2016,1,1313,80781
2017,1,1313,117664
2018,1,1313,89676
2019,1,1313,128891
2020,1,1313,68326
2021,1,1313,52102
2022,1,1313,127470
1993,1,1101,94319
1994,1,1101,115622
1995,1,1101,51609
1996,1,1101,65477
1997,1,1101,118910
1998,1,1101,70442
1999,1,1101,96714
2000,1,1101,28949
2001,1,1101,59293
2002,1,1101,33999
2003,1,1101,59204
2004,1,1101,26549
2005,1,1101,18493
2006,1,1101,56009
2007,1,1101,35327
2008,1,1101,35633
2009,1,1101,19692
2010,1,1101,15670
2011,1,1101,20995
2012,1,1101,12060
2013,1,1101,18266
2014,1,1101,9114
2015,1,1101,11784
2016,1,1101,19819
2017,1,1101,15970
2018,1,1101,54576
2019,1,1101,54359
2020,1,1101,32946
2021,1,1101,7492
2022,1,1101,40823
1993,1,1201,39822
1994,1,1201,56467
1995,1,1201,50030
1996,1,1201,84660
1997,1,1201,39039
1998,1,1201,23938
1999,1,1201,49313
2000,1,1201,16315
2001,1,1201,9757
2002,1,1201,18388
2003,1,1201,72650
2004,1,1201,7760
2005,1,1201,14826
2006,1,1201,3470
2007,1,1201,3959
2008,1,1201,8964
2009,1,1201,8691
2010,1,1201,51317
2011,1,1201,8598
2012,1,1201,9338
2013,1,1201,12840
2014,1,1201,8614
2015,1,1201,13425
2016,1,1201,7363
2017,1,1201,12449
2018,1,1201,7964
2019,1,1201,27361
2020,1,1201,0
2021,1,1201,8321
2022,1,1201,1592
1993,1,1301,90199
1994,1,1301,135564
1995,1,1301,126640
1996,1,1301,128698
1997,1,1301,93838
1998,1,1301,72516
1999,1,1301,104884
2000,1,1301,28953
2001,1,1301,50344
2002,1,1301,30945
2003,1,1301,104015
2004,1,1301,23131
2005,1,1301,48509
2006,1,1301,60580
2007,1,1301,152306
2008,1,1301,16612
2009,1,1301,28783
2010,1,1301,48633
2011,1,1301,25978
2012,1,1301,9837
2013,1,1301,29117
2014,1,1301,18357
2015,1,1301,9721
2016,1,1301,12662
2017,1,1301,20481
2018,1,1301,24876
2019,1,1301,9980
2020,1,1301,39849
2021,1,1301,8222
2022,1,1301,21629
1993,1,1313,370940
1994,1,1313,348382
1995,1,1313,415087
1996,1,1313,381774
1997,1,1313,449128
1998,1,1313,309912
1999,1,1313,497493
2000,1,1313,312376
2001,1,1313,300305
2002,1,1313,309932
2003,1,1313,262217
2004,1,1313,136627
2005,1,1313,278268
2006,1,1313,315525
2007,1,1313,166254
2008,1,1313,139058
2009,1,1313,128416
2010,1,1313,56495
2011,1,1313,107417
