rpt_dt,rpt_dtm,sex,region,region_m,crime_type,ncic,vic_num
1996,35065,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,145675
1997,35431,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,210209
1998,35796,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,120428
1999,36161,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,143786
2000,36526,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,64034
2001,36892,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,192875
2002,37257,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,97487
2003,37622,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,158709
2004,37987,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,104108
2005,38353,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,64225
2006,38718,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,169177
2007,39083,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,73220
2008,39448,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,126932
2009,39814,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,67085
2010,40179,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,35155
2011,40544,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,72805
2012,40909,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,44432
2013,41275,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,89794
2014,41640,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,78289
2015,42005,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,111996
2016,42370,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,68783
2017,42736,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,118525
2018,43101,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,192511
2019,43466,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,104037
2020,43831,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,109402
2021,44197,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,93510
2022,44562,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,112733
1996,35065,F,SOUTH,2,ROBBERY,1201,209045
1997,35431,F,SOUTH,2,ROBBERY,1201,171309
1998,35796,F,SOUTH,2,ROBBERY,1201,135524
1999,36161,F,SOUTH,2,ROBBERY,1201,113070
2000,36526,F,SOUTH,2,ROBBERY,1201,84692
2001,36892,F,SOUTH,2,ROBBERY,1201,69272
2002,37257,F,SOUTH,2,ROBBERY,1201,80446
2003,37622,F,SOUTH,2,ROBBERY,1201,116630
2004,37987,F,SOUTH,2,ROBBERY,1201,77691
2005,38353,F,SOUTH,2,ROBBERY,1201,71815
2006,38718,F,SOUTH,2,ROBBERY,1201,106244
2007,39083,F,SOUTH,2,ROBBERY,1201,108472
2008,39448,F,SOUTH,2,ROBBERY,1201,131268
2009,39814,F,SOUTH,2,ROBBERY,1201,79467
2010,40179,F,SOUTH,2,ROBBERY,1201,73466
2011,40544,F,SOUTH,2,ROBBERY,1201,80098
2012,40909,F,SOUTH,2,ROBBERY,1201,83771
2013,41275,F,SOUTH,2,ROBBERY,1201,51810
2014,41640,F,SOUTH,2,ROBBERY,1201,154890
2015,42005,F,SOUTH,2,ROBBERY,1201,108883
2016,42370,F,SOUTH,2,ROBBERY,1201,73815
2017,42736,F,SOUTH,2,ROBBERY,1201,103526
2018,43101,F,SOUTH,2,ROBBERY,1201,83684
2019,43466,F,SOUTH,2,ROBBERY,1201,71822
2020,43831,F,SOUTH,2,ROBBERY,1201,90443
2021,44197,F,SOUTH,2,ROBBERY,1201,70070
2022,44562,F,SOUTH,2,ROBBERY,1201,107180
1996,35065,F,SOUTH,2,AGGRAVATED ASSAULT,1301,422750
1997,35431,F,SOUTH,2,AGGRAVATED ASSAULT,1301,419815
1998,35796,F,SOUTH,2,AGGRAVATED ASSAULT,1301,273299
1999,36161,F,SOUTH,2,AGGRAVATED ASSAULT,1301,305519
2000,36526,F,SOUTH,2,AGGRAVATED ASSAULT,1301,144306
2001,36892,F,SOUTH,2,AGGRAVATED ASSAULT,1301,232556
2002,37257,F,SOUTH,2,AGGRAVATED ASSAULT,1301,349373
2003,37622,F,SOUTH,2,AGGRAVATED ASSAULT,1301,186306
2004,37987,F,SOUTH,2,AGGRAVATED ASSAULT,1301,177939
2005,38353,F,SOUTH,2,AGGRAVATED ASSAULT,1301,185328
2006,38718,F,SOUTH,2,AGGRAVATED ASSAULT,1301,275678
2007,39083,F,SOUTH,2,AGGRAVATED ASSAULT,1301,248665
2008,39448,F,SOUTH,2,AGGRAVATED ASSAULT,1301,106856
2009,39814,F,SOUTH,2,AGGRAVATED ASSAULT,1301,159994
2010,40179,F,SOUTH,2,AGGRAVATED ASSAULT,1301,127747
2011,40544,F,SOUTH,2,AGGRAVATED ASSAULT,1301,150655
2012,40909,F,SOUTH,2,AGGRAVATED ASSAULT,1301,154562
2013,41275,F,SOUTH,2,AGGRAVATED ASSAULT,1301,105981
2014,41640,F,SOUTH,2,AGGRAVATED ASSAULT,1301,160841
2015,42005,F,SOUTH,2,AGGRAVATED ASSAULT,1301,126031
2016,42370,F,SOUTH,2,AGGRAVATED ASSAULT,1301,130986
2017,42736,F,SOUTH,2,AGGRAVATED ASSAULT,1301,156085
2018,43101,F,SOUTH,2,AGGRAVATED ASSAULT,1301,138163
2019,43466,F,SOUTH,2,AGGRAVATED ASSAULT,1301,134840
2020,43831,F,SOUTH,2,AGGRAVATED ASSAULT,1301,129465
2021,44197,F,SOUTH,2,AGGRAVATED ASSAULT,1301,108880
2022,44562,F,SOUTH,2,AGGRAVATED ASSAULT,1301,272969
1996,35065,F,SOUTH,2,SIMPLE ASSAULT,1313,1274967
1997,35431,F,SOUTH,2,SIMPLE ASSAULT,1313,1355884
1998,35796,F,SOUTH,2,SIMPLE ASSAULT,1313,1071359
1999,36161,F,SOUTH,2,SIMPLE ASSAULT,1313,993807
2000,36526,F,SOUTH,2,SIMPLE ASSAULT,1313,789271
2001,36892,F,SOUTH,2,SIMPLE ASSAULT,1313,731770
2002,37257,F,SOUTH,2,SIMPLE ASSAULT,1313,754321
