rpt_dt,boro_nm,boro_num,ncic,ct_m,vic_num
1993,1,MANHATTAN,1101,2,1
1997,1,MANHATTAN,1101,2,1
1999,1,MANHATTAN,1101,2,1
2003,1,MANHATTAN,1101,2,1
2004,1,MANHATTAN,1101,2,2
2006,1,MANHATTAN,1101,2,1
2007,1,MANHATTAN,1101,2,1
2008,1,MANHATTAN,1101,2,1
2010,1,MANHATTAN,1101,2,3
2011,1,MANHATTAN,1101,2,5
2012,1,MANHATTAN,1101,2,2
2013,1,MANHATTAN,1101,2,2
2014,1,MANHATTAN,1101,2,5
2015,1,MANHATTAN,1101,2,3
2016,1,MANHATTAN,1101,2,2
2017,1,MANHATTAN,1101,2,3
2018,1,MANHATTAN,1101,2,3
2019,1,MANHATTAN,1101,2,8
2020,1,MANHATTAN,1101,2,13
2021,1,MANHATTAN,1101,2,21
2022,1,MANHATTAN,1101,2,77
2023,1,MANHATTAN,1101,2,824
2007,1,MANHATTAN,1201,2,1
2013,1,MANHATTAN,1201,2,2
2014,1,MANHATTAN,1201,2,
2015,1,MANHATTAN,1201,2,1
2017,1,MANHATTAN,1201,2,1
2018,1,MANHATTAN,1201,2,3
2019,1,MANHATTAN,1201,2,5
2020,1,MANHATTAN,1201,2,7
2021,1,MANHATTAN,1201,2,31
2022,1,MANHATTAN,1201,2,457
2023,1,MANHATTAN,1201,2,6983
2021,1,MANHATTAN,1301,2,7
2022,1,MANHATTAN,1301,2,47
2023,1,MANHATTAN,1301,2,3620
2001,1,MANHATTAN,1313,1,1
2003,1,MANHATTAN,1313,1,1
2018,1,MANHATTAN,1313,1,3
2019,1,MANHATTAN,1313,1,2
2020,1,MANHATTAN,1313,1,4
2021,1,MANHATTAN,1313,1,14
2022,1,MANHATTAN,1313,1,190
2023,1,MANHATTAN,1313,1,5925
1994,2,BROOKLYN,1101,2,2
1995,2,BROOKLYN,1101,2,1
1996,2,BROOKLYN,1101,2,1
1999,2,BROOKLYN,1101,2,1
2003,2,BROOKLYN,1101,2,1
2006,2,BROOKLYN,1101,2,2
2008,2,BROOKLYN,1101,2,1
2009,2,BROOKLYN,1101,2,3
2010,2,BROOKLYN,1101,2,1
2011,2,BROOKLYN,1101,2,1
2012,2,BROOKLYN,1101,2,6
2013,2,BROOKLYN,1101,2,7
2014,2,BROOKLYN,1101,2,6
2015,2,BROOKLYN,1101,2,10
2016,2,BROOKLYN,1101,2,7
2017,2,BROOKLYN,1101,2,5
2018,2,BROOKLYN,1101,2,13
2019,2,BROOKLYN,1101,2,15
2020,2,BROOKLYN,1101,2,15
2021,2,BROOKLYN,1101,2,12
