"rpt_dt","sex","race","crime_type","vic_num"
"1993-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",653013
"1994-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",505311
"1995-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",322680
"1996-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",292886
"1997-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",398653
"1998-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",285942
"1999-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",424718
"2000-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",299358
"2001-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",251504
"2002-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",194809
"2003-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",260817
"2004-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",185201
"2005-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",111856
"2006-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",238132
"2007-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",180893
"2008-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",198429
"2009-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",235060
"2010-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",181998
"2011-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",145565
"2012-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",164363
"2013-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",190230
"2014-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",130490
"2015-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",243568
"2016-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",179631
"2017-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",196999
"2018-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",439536
"2019-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",286097
"2020-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",206143
"2021-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",157696
"2022-01-01","F","WHITE","RAPE/SEXUAL ASSAULT",257745
"1993-01-01","F","WHITE","ROBBERY",307962
"1994-01-01","F","WHITE","ROBBERY",355819
