"rpt_dt","sex","race","crime_type","vic_num"
"1993-01-01","F","WHITE","SIMPLE ASSAULT",3436993
"1994-01-01","F","WHITE","SIMPLE ASSAULT",4011429
"1995-01-01","F","WHITE","SIMPLE ASSAULT",3332359
"1996-01-01","F","WHITE","SIMPLE ASSAULT",3280918
"1997-01-01","F","WHITE","SIMPLE ASSAULT",3152273
"1998-01-01","F","WHITE","SIMPLE ASSAULT",2670371
"1999-01-01","F","WHITE","SIMPLE ASSAULT",2679990
"2000-01-01","F","WHITE","SIMPLE ASSAULT",1907255
"2001-01-01","F","WHITE","SIMPLE ASSAULT",1701152
"2002-01-01","F","WHITE","SIMPLE ASSAULT",1991615
"2003-01-01","F","WHITE","SIMPLE ASSAULT",1825658
"2004-01-01","F","WHITE","SIMPLE ASSAULT",1610402
"2005-01-01","F","WHITE","SIMPLE ASSAULT",1486536
"2006-01-01","F","WHITE","SIMPLE ASSAULT",1652126
"2007-01-01","F","WHITE","SIMPLE ASSAULT",1350843
"2008-01-01","F","WHITE","SIMPLE ASSAULT",1424438
"2009-01-01","F","WHITE","SIMPLE ASSAULT",1355340
"2010-01-01","F","WHITE","SIMPLE ASSAULT",1019872
"2011-01-01","F","WHITE","SIMPLE ASSAULT",1029962
"2012-01-01","F","WHITE","SIMPLE ASSAULT",1442986
"2013-01-01","F","WHITE","SIMPLE ASSAULT",1303374
"2014-01-01","F","WHITE","SIMPLE ASSAULT",1126959
"2015-01-01","F","WHITE","SIMPLE ASSAULT",1049806
"2016-01-01","F","WHITE","SIMPLE ASSAULT",1255655
"2017-01-01","F","WHITE","SIMPLE ASSAULT",1216383
"2018-01-01","F","WHITE","SIMPLE ASSAULT",1459999
"2019-01-01","F","WHITE","SIMPLE ASSAULT",1250784
"2020-01-01","F","WHITE","SIMPLE ASSAULT",842968
"2021-01-01","F","WHITE","SIMPLE ASSAULT",826972
"2022-01-01","F","WHITE","SIMPLE ASSAULT",1216163
"1993-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1688357
"1994-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1687972
"1995-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1245094
"1996-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1378553
"1997-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1435282
"1998-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1095284
"1999-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",1063532
"2000-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",774313
"2001-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",797154
"2002-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",705011
"2003-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",829808
"2004-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",638885
"2005-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",510494
"2006-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",889533
"2007-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",574280
"2008-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",722579
"2009-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",615346
"2010-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",550696
"2011-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",528217
"2012-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",543491
"2013-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",572535
"2014-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",575686
"2015-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",653279
"2016-01-01","F","WHITE","VIOLENT CRIME EXCLUDING SIMPLE ASSAULT",583715
