rpt_dt,rpt_dtm,sex,region,region_m,crime_type,NCIC,vic_num
1/1/1996,35065,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,145675
1/1/1997,35431,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,210209
1/1/1998,35796,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,120428
1/1/1999,36161,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,143786
1/1/2000,36526,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,64034
1/1/2001,36892,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,192875
1/1/2002,37257,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,97487
1/1/2003,37622,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,158709
1/1/2004,37987,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,104108
1/1/2005,38353,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,64225
1/1/2006,38718,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,169177
1/1/2007,39083,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,73220
1/1/2008,39448,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,126932
1/1/2009,39814,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,67085
1/1/2010,40179,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,35155
1/1/2011,40544,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,72805
1/1/2012,40909,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,44432
1/1/2013,41275,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,89794
1/1/2014,41640,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,78289
1/1/2015,42005,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,111996
1/1/2016,42370,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,68783
1/1/2017,42736,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,118525
1/1/2018,43101,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,192511
1/1/2019,43466,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,104037
1/1/2020,43831,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,109402
1/1/2021,44197,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,93510
1/1/2022,44562,F,SOUTH,2,RAPE/SEXUAL ASSAULT,1101,112733
1/1/1996,35065,F,SOUTH,2,ROBBERY,1201,209045
1/1/1997,35431,F,SOUTH,2,ROBBERY,1201,171309
1/1/1998,35796,F,SOUTH,2,ROBBERY,1201,135524
1/1/1999,36161,F,SOUTH,2,ROBBERY,1201,113070
1/1/2000,36526,F,SOUTH,2,ROBBERY,1201,84692
1/1/2001,36892,F,SOUTH,2,ROBBERY,1201,69272
1/1/2002,37257,F,SOUTH,2,ROBBERY,1201,80446
1/1/2003,37622,F,SOUTH,2,ROBBERY,1201,116630
1/1/2004,37987,F,SOUTH,2,ROBBERY,1201,77691
1/1/2005,38353,F,SOUTH,2,ROBBERY,1201,71815
1/1/2006,38718,F,SOUTH,2,ROBBERY,1201,106244
1/1/2007,39083,F,SOUTH,2,ROBBERY,1201,108472
1/1/2008,39448,F,SOUTH,2,ROBBERY,1201,131268
1/1/2009,39814,F,SOUTH,2,ROBBERY,1201,79467
1/1/2010,40179,F,SOUTH,2,ROBBERY,1201,73466
1/1/2011,40544,F,SOUTH,2,ROBBERY,1201,80098
1/1/2012,40909,F,SOUTH,2,ROBBERY,1201,83771
1/1/2013,41275,F,SOUTH,2,ROBBERY,1201,51810
1/1/2014,41640,F,SOUTH,2,ROBBERY,1201,154890
1/1/2015,42005,F,SOUTH,2,ROBBERY,1201,108883
1/1/2016,42370,F,SOUTH,2,ROBBERY,1201,73815
1/1/2017,42736,F,SOUTH,2,ROBBERY,1201,103526
1/1/2018,43101,F,SOUTH,2,ROBBERY,1201,83684
1/1/2019,43466,F,SOUTH,2,ROBBERY,1201,71822
1/1/2020,43831,F,SOUTH,2,ROBBERY,1201,90443
1/1/2021,44197,F,SOUTH,2,ROBBERY,1201,70070
1/1/2022,44562,F,SOUTH,2,ROBBERY,1201,107180
1/1/1996,35065,F,SOUTH,2,AGGRAVATED ASSAULT,1301,422750
1/1/1997,35431,F,SOUTH,2,AGGRAVATED ASSAULT,1301,419815
1/1/1998,35796,F,SOUTH,2,AGGRAVATED ASSAULT,1301,273299
1/1/1999,36161,F,SOUTH,2,AGGRAVATED ASSAULT,1301,305519
1/1/2000,36526,F,SOUTH,2,AGGRAVATED ASSAULT,1301,144306
1/1/2001,36892,F,SOUTH,2,AGGRAVATED ASSAULT,1301,232556
1/1/2002,37257,F,SOUTH,2,AGGRAVATED ASSAULT,1301,349373
1/1/2003,37622,F,SOUTH,2,AGGRAVATED ASSAULT,1301,186306
1/1/2004,37987,F,SOUTH,2,AGGRAVATED ASSAULT,1301,177939
1/1/2005,38353,F,SOUTH,2,AGGRAVATED ASSAULT,1301,185328
1/1/2006,38718,F,SOUTH,2,AGGRAVATED ASSAULT,1301,275678
1/1/2007,39083,F,SOUTH,2,AGGRAVATED ASSAULT,1301,248665
1/1/2008,39448,F,SOUTH,2,AGGRAVATED ASSAULT,1301,106856
1/1/2009,39814,F,SOUTH,2,AGGRAVATED ASSAULT,1301,159994
1/1/2010,40179,F,SOUTH,2,AGGRAVATED ASSAULT,1301,127747
1/1/2011,40544,F,SOUTH,2,AGGRAVATED ASSAULT,1301,150655
1/1/2012,40909,F,SOUTH,2,AGGRAVATED ASSAULT,1301,154562
1/1/2013,41275,F,SOUTH,2,AGGRAVATED ASSAULT,1301,105981
1/1/2014,41640,F,SOUTH,2,AGGRAVATED ASSAULT,1301,160841
1/1/2015,42005,F,SOUTH,2,AGGRAVATED ASSAULT,1301,126031
1/1/2016,42370,F,SOUTH,2,AGGRAVATED ASSAULT,1301,130986
1/1/2017,42736,F,SOUTH,2,AGGRAVATED ASSAULT,1301,156085
1/1/2018,43101,F,SOUTH,2,AGGRAVATED ASSAULT,1301,138163
1/1/2019,43466,F,SOUTH,2,AGGRAVATED ASSAULT,1301,134840
1/1/2020,43831,F,SOUTH,2,AGGRAVATED ASSAULT,1301,129465
1/1/2021,44197,F,SOUTH,2,AGGRAVATED ASSAULT,1301,108880
1/1/2022,44562,F,SOUTH,2,AGGRAVATED ASSAULT,1301,272969
1/1/1996,35065,F,SOUTH,2,SIMPLE ASSAULT,1313,1274967
1/1/1997,35431,F,SOUTH,2,SIMPLE ASSAULT,1313,1355884
1/1/1998,35796,F,SOUTH,2,SIMPLE ASSAULT,1313,1071359
1/1/1999,36161,F,SOUTH,2,SIMPLE ASSAULT,1313,993807
1/1/2000,36526,F,SOUTH,2,SIMPLE ASSAULT,1313,789271
1/1/2001,36892,F,SOUTH,2,SIMPLE ASSAULT,1313,731770
1/1/2002,37257,F,SOUTH,2,SIMPLE ASSAULT,1313,754321
1/1/2003,37622,F,SOUTH,2,SIMPLE ASSAULT,1313,827326
1/1/2004,37987,F,SOUTH,2,SIMPLE ASSAULT,1313,784350
1/1/2005,38353,F,SOUTH,2,SIMPLE ASSAULT,1313,507897
1/1/2006,38718,F,SOUTH,2,SIMPLE ASSAULT,1313,928659
1/1/2007,39083,F,SOUTH,2,SIMPLE ASSAULT,1313,619593
1/1/2008,39448,F,SOUTH,2,SIMPLE ASSAULT,1313,797463
1/1/2009,39814,F,SOUTH,2,SIMPLE ASSAULT,1313,636528
1/1/2010,40179,F,SOUTH,2,SIMPLE ASSAULT,1313,485099
1/1/2011,40544,F,SOUTH,2,SIMPLE ASSAULT,1313,406320
1/1/2012,40909,F,SOUTH,2,SIMPLE ASSAULT,1313,699646
1/1/2013,41275,F,SOUTH,2,SIMPLE ASSAULT,1313,674202
1/1/2014,41640,F,SOUTH,2,SIMPLE ASSAULT,1313,578841
1/1/2015,42005,F,SOUTH,2,SIMPLE ASSAULT,1313,701872
1/1/2016,42370,F,SOUTH,2,SIMPLE ASSAULT,1313,489281
1/1/2017,42736,F,SOUTH,2,SIMPLE ASSAULT,1313,591452
1/1/2018,43101,F,SOUTH,2,SIMPLE ASSAULT,1313,678426
1/1/2019,43466,F,SOUTH,2,SIMPLE ASSAULT,1313,592182
1/1/2020,43831,F,SOUTH,2,SIMPLE ASSAULT,1313,546597
1/1/2021,44197,F,SOUTH,2,SIMPLE ASSAULT,1313,430746
1/1/2022,44562,F,SOUTH,2,SIMPLE ASSAULT,1313,482004
1/1/1996,35065,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,88265
1/1/1997,35431,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,90814
1/1/1998,35796,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,69199
1/1/1999,36161,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,99387
1/1/2000,36526,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,149862
1/1/2001,36892,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,103553
1/1/2002,37257,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,65449
1/1/2003,37622,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,22392
1/1/2004,37987,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,71934
1/1/2005,38353,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,47598
1/1/2006,38718,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,55806
1/1/2007,39083,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,67986
1/1/2008,39448,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,63516
1/1/2009,39814,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,34471
1/1/2010,40179,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,99774
1/1/2011,40544,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,36602
1/1/2012,40909,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,79265
1/1/2013,41275,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,57479
1/1/2014,41640,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,61313
1/1/2015,42005,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,117938
1/1/2016,42370,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,102459
1/1/2017,42736,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,84634
1/1/2018,43101,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,163666
1/1/2019,43466,F,WEST,4,RAPE/SEXUAL ASSAULT,1101,167444
