ky_cd,>18,18-24,25-44,45-64,65+,unknown,Total
101,79,20,85,35,5,1,152
103,0,0,7,0,0,0,7
104,0,1,0,0,0,0,1
105,0,4,15,13,1,4,37
106,1338,2487,7674,2668,211,328,14706
107,0,0,4,2,1,,7
109,6,161,861,407,180,26,1641
110,1,,,,,,1
111,12,3,8,,,3,26
112,45,565,3628,2034,557,201,7030
113,1,29,119,79,40,6,274
114,2,10,37,16,3,5,73
115,7,42,127,57,5,15,253
116,,,2,2,,,4
117,2,,4,2,3,1,12
118,,,1,,,,1
119,536,924,2694,846,407,104,5511
120,,1,2,,,,3
121,2,5,23,30,27,5,92
124,6,33,234,193,118,12,596
125,,3,1,5,,1,10
126,,,,1,,,1
230,132,1170,4368,2431,1407,138,9646
231,,87,1111,670,179,31,2078
232,1390,2607,12881,7071,1771,571,26291
233,,,1,,,1,2
235,2,,28,18,1,9,58
236,,1,,,,,1
237,,1,4,1,1,6,13
238,2,,,,,,2
250,11,10,24,2,,2,49
340,176,492,2611,1006,311,127,4723
341,1,2,7,8,2,1,21
342,,2,3,3,,,8
343,454,907,3327,1074,141,106,6009
344,39,159,766,299,78,41,1382
345,19,28,79,22,12,25,185
346,,,,1,2,,3
347,,,,,,1,1
348,,1,7,3,,3,14
350,,,1,,,,1
351,1,8,42,19,5,1,76
352,196,1224,6423,3431,1125,242,12641
353,,1,4,2,1,,8
355,5,19,91,56,26,44,241
358,3,4,2,,,2,11
359,206,157,276,63,6,,708
361,101,432,1062,347,82,13,2037
364,1633,514,944,212,31,171,3505
365,8,67,538,396,173,20,1202
572,,22,136,54,18,1,231
578,103,174,688,343,121,41,1470
675,0,22,136,54,18,1,231
677,103,174,688,343,121,41,1470
678,,,,,,,
