OFNS_DESC,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,TOTAL,PercentBronx,PercentBrooklyn,PercentManhattan,PercentQueens,PercentStatenIsld.
ADMINISTRATIVE CODE,36,61,13,37,5,152,0.236842105,0.401315789,0.085526316,0.243421053,0.032894737
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2,2,0,3,0,7,0.285714286,0.285714286,0.000000000,0.428571429,0.000000000
ALCOHOLIC BEVERAGE CONTROL LAW,0,1,0,0,0,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
ARSON,11,16,4,5,1,37,0.297297297,0.432432432,0.108108108,0.135135135,0.027027027
ASSAULT 3 & RELATED OFFENSES,4121,4067,2807,3045,666,14706,0.280225758,0.276553788,0.190874473,0.207058344,0.045287638
BURGLAR'S TOOLS,1,3,2,1,,7,0.142857143,0.428571429,0.285714286,0.142857143,0.000000000
BURGLARY,344,499,311,431,56,1641,0.209628275,0.304082876,0.189518586,0.262644729,0.034125533
CANNABIS RELATED OFFENSES,,,,1,,1,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000
CHILD ABANDONMENT/NON SUPPORT,2,10,9,5,,26,0.076923077,0.384615385,0.346153846,0.192307692,0.000000000
CRIMINAL MISCHIEF & RELATED OF,1845,2153,980,1662,390,7030,0.262446657,0.306258890,0.139402560,0.236415363,0.055476529
CRIMINAL TRESPASS,52,70,39,86,27,274,0.189781022,0.255474453,0.142335766,0.313868613,0.098540146
DANGEROUS DRUGS,15,27,16,11,4,73,0.205479452,0.369863014,0.219178082,0.150684932,0.054794521
DANGEROUS WEAPONS,53,100,42,47,11,253,0.209486166,0.395256917,0.166007905,0.185770751,0.043478261
DISORDERLY CONDUCT,2,2,,,,4,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000
ENDAN WELFARE INCOMP,1,2,1,4,4,12,0.083333333,0.166666667,0.083333333,0.333333333,0.333333333
ESCAPE 3,1,,,,,1,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
FELONY ASSAULT,1658,1587,858,1194,214,5511,0.300852840,0.287969516,0.155688623,0.216657594,0.038831428
FELONY SEX CRIMES,1,,2,,,3,0.333333333,0.000000000,0.666666667,0.000000000,0.000000000
FORGERY,20,24,19,27,2,92,0.217391304,0.260869565,0.206521739,0.293478261,0.021739130
FRAUDS,89,204,134,113,56,596,0.149328859,0.342281879,0.224832215,0.189597315,0.093959732
FRAUDULENT ACCOSTING,,,9,1,,10,0.000000000,0.000000000,0.900000000,0.100000000,0.000000000
GAMBLING,,,1,,,1,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000
GRAND LARCENY,1655,2418,3280,1966,327,9646,0.171573709,0.250673854,0.340037321,0.203815053,0.033900062
GRAND LARCENY OF MOTOR VEHICLE,882,411,212,515,58,2078,0.424446583,0.197786333,0.102021174,0.247834456,0.027911453
HARRASSMENT 2,6243,8055,4967,5484,1542,26291,0.237457685,0.306378609,0.188923966,0.208588490,0.058651249
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",,,1,,1,2,0.000000000,0.000000000,0.500000000,0.000000000,0.500000000
INTOXICATED & IMPAIRED DRIVING,10,13,8,24,3,58,0.172413793,0.224137931,0.137931034,0.413793103,0.051724138
INTOXICATED/IMPAIRED DRIVING,,1,,,,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
JOSTLING,1,,9,3,,13,0.076923077,0.000000000,0.692307692,0.230769231,0.000000000
KIDNAPPING,,1,,1,,2,0.000000000,0.500000000,0.000000000,0.500000000,0.000000000
KIDNAPPING & RELATED OFFENSES,15,14,9,7,4,49,0.306122449,0.285714286,0.183673469,0.142857143,0.081632653
MISCELLANEOUS PENAL LAW,725,1808,536,1245,409,4723,0.153504129,0.382807538,0.113487190,0.263603642,0.086597502
MURDER & NON-NEGL. MANSLAUGHTER,3,6,4,5,3,21,0.142857143,0.285714286,0.190476190,0.238095238,0.142857143
NYS LAWS-UNCLASSIFIED FELONY,1,4,,3,,8,0.125000000,0.500000000,0.000000000,0.375000000,0.000000000
OFF. AGNST PUB ORD SENSBLTY &,1587,1817,1151,1002,452,6009,0.264103844,0.302379764,0.191546014,0.166749875,0.075220503
OFFENSES AGAINST PUBLIC ADMINI,558,155,392,182,95,1382,0.403762663,0.112156295,0.283646889,0.131693198,0.068740955
OFFENSES AGAINST THE PERSON,48,46,50,27,14,185,0.259459459,0.248648649,0.270270270,0.145945946,0.075675676
OFFENSES INVOLVING FRAUD,1,1,1,,,3,0.333333333,0.333333333,0.333333333,0.000000000,0.000000000
OFFENSES RELATED TO CHILDREN,,,,1,,1,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OTHER OFFENSES RELATED TO THEF,6,2,3,3,,14,0.428571429,0.142857143,0.214285714,0.214285714,0.000000000
OTHER STATE LAWS,1,,,,,1,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
OTHER STATE LAWS (NON PENAL LA,15,27,9,22,3,76,0.197368421,0.355263158,0.118421053,0.289473684,0.039473684
PETIT LARCENY,2582,3868,2934,2747,510,12641,0.204255992,0.305988450,0.232101891,0.217308757,0.040344909
PETIT LARCENY OF MOTOR VEHICLE,3,1,2,2,,8,0.375000000,0.125000000,0.250000000,0.250000000,0.000000000
POSSESSION OF STOLEN PROPERTY,64,60,55,51,11,241,0.265560166,0.248962656,0.228215768,0.211618257,0.045643154
PROSTITUTION & RELATED OFFENSES,3,4,2,1,1,11,0.272727273,0.363636364,0.181818182,0.090909091,0.090909091
RAPE,190,215,119,164,20,708,0.268361582,0.303672316,0.168079096,0.231638418,0.028248588
ROBBERY,625,585,382,396,49,2037,0.306823760,0.287187040,0.187530682,0.194403535,0.024054983
SEX CRIMES,771,841,848,927,118,3505,0.219971469,0.239942939,0.241940086,0.264479315,0.033666191
THEFT-FRAUD,257,450,204,216,75,1202,0.213810316,0.374376040,0.169717138,0.179700499,0.062396007
UNAUTHORIZED USE OF A VEHICLE,56,68,32,49,26,231,0.242424242,0.294372294,0.138528139,0.212121212,0.112554113
VEHICLE AND TRAFFIC LAWS,294,519,240,365,52,1470,0.200000000,0.353061224,0.163265306,0.248299320,0.035374150
