RPT_DT,SEX,AGE_GROUP,CRIME_TYPE,VIC_NUM
1993-01-01,F,15 -17,SIMPLE ASSAULT,370940
1994-01-01,F,15 -17,SIMPLE ASSAULT,348382
1995-01-01,F,15 -17,SIMPLE ASSAULT,415087
1996-01-01,F,15 -17,SIMPLE ASSAULT,381774
1997-01-01,F,15 -17,SIMPLE ASSAULT,449128
1998-01-01,F,15 -17,SIMPLE ASSAULT,309912
1999-01-01,F,15 -17,SIMPLE ASSAULT,497493
2000-01-01,F,15 -17,SIMPLE ASSAULT,312376
2001-01-01,F,15 -17,SIMPLE ASSAULT,300305
2002-01-01,F,15 -17,SIMPLE ASSAULT,309932
2003-01-01,F,15 -17,SIMPLE ASSAULT,262217
2004-01-01,F,15 -17,SIMPLE ASSAULT,136627
2005-01-01,F,15 -17,SIMPLE ASSAULT,278268
2006-01-01,F,15 -17,SIMPLE ASSAULT,315525
2007-01-01,F,15 -17,SIMPLE ASSAULT,166254
2008-01-01,F,15 -17,SIMPLE ASSAULT,139058
2009-01-01,F,15 -17,SIMPLE ASSAULT,128416
2010-01-01,F,15 -17,SIMPLE ASSAULT,56495
2011-01-01,F,15 -17,SIMPLE ASSAULT,107417
2012-01-01,F,15 -17,SIMPLE ASSAULT,202483
2013-01-01,F,15 -17,SIMPLE ASSAULT,226340
2014-01-01,F,15 -17,SIMPLE ASSAULT,154137
2015-01-01,F,15 -17,SIMPLE ASSAULT,74882
2016-01-01,F,15 -17,SIMPLE ASSAULT,53632
2017-01-01,F,15 -17,SIMPLE ASSAULT,117011
2018-01-01,F,15 -17,SIMPLE ASSAULT,99221
2019-01-01,F,15 -17,SIMPLE ASSAULT,141376
2020-01-01,F,15 -17,SIMPLE ASSAULT,45581
2021-01-01,F,15 -17,SIMPLE ASSAULT,21809
2022-01-01,F,15 -17,SIMPLE ASSAULT,98254
1993-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,224340
1994-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,307653
1995-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,228279
1996-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,278836
1997-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,251787
1998-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,166896
1999-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,250911
2000-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,74217
2001-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,119394
2002-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,83331
2003-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,235868
2004-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,57440
2005-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,81828
2006-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,120059
2007-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,191592
2008-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,61210
2009-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,57166
2010-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,115620
2011-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,55570
2012-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,31235
2013-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,60223
2014-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,36086
2015-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,34930
2016-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,39844
2017-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,48900
2018-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,87416
2019-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,91700
2020-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,72796
2021-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,24035
2022-01-01,F,15 -17,VIOLENT CRIME EXCLUDING SIMPLE ASSAULT,64043
1993-01-01,F,65 <,SIMPLE ASSAULT,57060
1994-01-01,F,65 <,SIMPLE ASSAULT,43077
1995-01-01,F,65 <,SIMPLE ASSAULT,52122
1996-01-01,F,65 <,SIMPLE ASSAULT,52109
1997-01-01,F,65 <,SIMPLE ASSAULT,67902
1998-01-01,F,65 <,SIMPLE ASSAULT,46466
1999-01-01,F,65 <,SIMPLE ASSAULT,57069
2000-01-01,F,65 <,SIMPLE ASSAULT,38542
2001-01-01,F,65 <,SIMPLE ASSAULT,85736
2002-01-01,F,65 <,SIMPLE ASSAULT,40582
2003-01-01,F,65 <,SIMPLE ASSAULT,20114
2004-01-01,F,65 <,SIMPLE ASSAULT,26345
2005-01-01,F,65 <,SIMPLE ASSAULT,21929
2006-01-01,F,65 <,SIMPLE ASSAULT,44430
2007-01-01,F,65 <,SIMPLE ASSAULT,35039
2008-01-01,F,65 <,SIMPLE ASSAULT,48642
