RPT_DT,RPT_DTM,SEX,AGE_GROUP,AGE_GM,CRIME_TYPE,CT_M,VIC_NUM
1/1/1993,33970,F,21-24,4,SIMPLE ASSAULT,1,506603
1/1/1994,34335,F,21-24,4,SIMPLE ASSAULT,1,620518
1/1/1995,34700,F,21-24,4,SIMPLE ASSAULT,1,561957
1/1/1996,35065,F,21-24,4,SIMPLE ASSAULT,1,465148
1/1/1997,35431,F,21-24,4,SIMPLE ASSAULT,1,556624
1/1/1998,35796,F,21-24,4,SIMPLE ASSAULT,1,472725
1/1/1999,36161,F,21-24,4,SIMPLE ASSAULT,1,373239
1/1/2000,36526,F,21-24,4,SIMPLE ASSAULT,1,294061
1/1/2001,36892,F,21-24,4,SIMPLE ASSAULT,1,328601
1/1/2002,37257,F,21-24,4,SIMPLE ASSAULT,1,195865
1/1/2003,37622,F,21-24,4,SIMPLE ASSAULT,1,336617
1/1/2004,37987,F,21-24,4,SIMPLE ASSAULT,1,316705
1/1/2005,38353,F,21-24,4,SIMPLE ASSAULT,1,237308
1/1/2006,38718,F,21-24,4,SIMPLE ASSAULT,1,299442
1/1/2007,39083,F,21-24,4,SIMPLE ASSAULT,1,223860
1/1/2008,39448,F,21-24,4,SIMPLE ASSAULT,1,314803
1/1/2009,39814,F,21-24,4,SIMPLE ASSAULT,1,192480
1/1/2010,40179,F,21-24,4,SIMPLE ASSAULT,1,124397
1/1/2011,40544,F,21-24,4,SIMPLE ASSAULT,1,142261
1/1/2012,40909,F,21-24,4,SIMPLE ASSAULT,1,235027
1/1/2013,41275,F,21-24,4,SIMPLE ASSAULT,1,243193
1/1/2014,41640,F,21-24,4,SIMPLE ASSAULT,1,151818
1/1/2015,42005,F,21-24,4,SIMPLE ASSAULT,1,134137
1/1/2016,42370,F,21-24,4,SIMPLE ASSAULT,1,200902
1/1/2017,42736,F,21-24,4,SIMPLE ASSAULT,1,138664
1/1/2018,43101,F,21-24,4,SIMPLE ASSAULT,1,161460
1/1/2019,43466,F,21-24,4,SIMPLE ASSAULT,1,181316
