"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 15 to 17"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1993","Female","15 to 17","Rape/sexual assault","94,319","44,303","144,335","25,519","0"
"1994","Female","15 to 17","Rape/sexual assault","115,622","67,724","163,520","24,438","0"
"1995","Female","15 to 17","Rape/sexual assault","51,609","23,912","79,306","14,131","0"
"1996","Female","15 to 17","Rape/sexual assault","65,477","31,406","99,549","17,384","0"
"1997","Female","15 to 17","Rape/sexual assault","118,910","62,421","175,399","28,821","0"
"1998","Female","15 to 17","Rape/sexual assault","70,442","35,037","105,846","18,064","0"
"1999","Female","15 to 17","Rape/sexual assault","96,714","47,649","145,778","25,033","0"
"2000","Female","15 to 17","Rape/sexual assault","28,949","7,132","50,766","11,131","1"
"2001","Female","15 to 17","Rape/sexual assault","59,293","25,281","93,304","17,353","0"
"2002","Female","15 to 17","Rape/sexual assault","33,999","9,456","58,542","12,522","1"
"2003","Female","15 to 17","Rape/sexual assault","59,204","23,739","94,668","18,094","1"
"2004","Female","15 to 17","Rape/sexual assault","26,549","5,129","47,968","10,929","1"
"2005","Female","15 to 17","Rape/sexual assault","18,493","45","36,942","9,413","1"
"2006","Female","15 to 17","Rape/sexual assault","56,009","21,018","91,000","17,853","0"
"2007","Female","15 to 17","Rape/sexual assault","35,327","14,417","56,237","10,669","1"
"2008","Female","15 to 17","Rape/sexual assault","35,633","4,162","67,105","16,057","1"
"2009","Female","15 to 17","Rape/sexual assault","19,692","0","40,754","10,746","1"
"2010","Female","15 to 17","Rape/sexual assault","15,670","0","31,391","8,021","1"
"2011","Female","15 to 17","Rape/sexual assault","20,995","2,670","39,319","9,349","1"
"2012","Female","15 to 17","Rape/sexual assault","12,060","0","27,008","7,627","1"
"2013","Female","15 to 17","Rape/sexual assault","18,266","738","35,793","8,943","1"
"2014","Female","15 to 17","Rape/sexual assault","9,114","0","21,540","6,340","1"
"2015","Female","15 to 17","Rape/sexual assault","11,784","0","26,994","7,761","1"
"2016","Female","15 to 17","Rape/sexual assault","19,819","2,561","37,078","8,806","1"
"2017","Female","15 to 17","Rape/sexual assault","15,970","341","31,598","7,974","1"
"2018","Female","15 to 17","Rape/sexual assault","54,576","22,621","86,532","16,304","0"
"2019","Female","15 to 17","Rape/sexual assault","54,359","21,475","87,243","16,778","1"
"2020","Female","15 to 17","Rape/sexual assault","32,946","9,461","56,432","11,983","1"
"2021","Female","15 to 17","Rape/sexual assault","7,492","0","16,178","4,432","1"
"2022","Female","15 to 17","Rape/sexual assault","40,823","12,185","69,460","14,611","1"
"1993","Female","15 to 17","Robbery","39,822","9,841","69,804","15,297","0"
"1994","Female","15 to 17","Robbery","56,467","25,304","87,631","15,900","0"
"1995","Female","15 to 17","Robbery","50,030","22,855","77,204","13,865","1"
"1996","Female","15 to 17","Robbery","84,660","44,549","124,772","20,465","1"
"1997","Female","15 to 17","Robbery","39,039","10,729","67,350","14,444","0"
"1998","Female","15 to 17","Robbery","23,938","6,311","41,566","8,994","1"
"1999","Female","15 to 17","Robbery","49,313","17,130","81,496","16,420","1"
"2000","Female","15 to 17","Robbery","16,315","982","31,648","7,823","1"
"2001","Female","15 to 17","Robbery","9,757","0","21,562","6,024","1"
"2002","Female","15 to 17","Robbery","18,388","1,831","34,945","8,448","1"
"2003","Female","15 to 17","Robbery","72,650","32,277","113,023","20,599","1"
"2004","Female","15 to 17","Robbery","7,760","0","18,490","5,475","1"
"2005","Female","15 to 17","Robbery","14,826","0","31,059","8,283","1"
"2006","Female","15 to 17","Robbery","3,470","0","10,624","3,650","1"
"2007","Female","15 to 17","Robbery","3,959","0","8,341","2,236","1"
"2008","Female","15 to 17","Robbery","8,964","0","23,506","7,419","1"
"2009","Female","15 to 17","Robbery","8,691","0","21,722","6,648","1"
"2010","Female","15 to 17","Robbery","51,317","17,450","85,184","17,279","1"
"2011","Female","15 to 17","Robbery","8,598","0","19,349","5,485","1"
"2012","Female","15 to 17","Robbery","9,338","0","22,340","6,634","1"
"2013","Female","15 to 17","Robbery","12,840","0","26,868","7,158","1"
"2014","Female","15 to 17","Robbery","8,614","0","20,649","6,140","1"
"2015","Female","15 to 17","Robbery","13,425","0","29,811","8,360","1"
"2016","Female","15 to 17","Robbery","7,363","0","17,233","5,036","1"
"2017","Female","15 to 17","Robbery","12,449","0","26,039","6,933","1"
"2018","Female","15 to 17","Robbery","7,964","0","18,029","5,135","1"
"2019","Female","15 to 17","Robbery","27,361","5,562","49,160","11,122","1"
"2020","Female","15 to 17","Robbery","0","","","","2"
"2021","Female","15 to 17","Robbery","8,321","0","17,541","4,704","1"
"2022","Female","15 to 17","Robbery","1,592","0","6,682","2,597","1"
"1993","Female","15 to 17","Aggravated assault","90,199","41,516","138,882","24,839","0"
