"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 25 to 34"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1993","Female","25 to 34","Rape/sexual assault","177,894","104,039","251,750","37,682","0"
"1994","Female","25 to 34","Rape/sexual assault","212,186","142,476","281,897","35,567","0"
"1995","Female","25 to 34","Rape/sexual assault","77,800","42,086","113,513","18,221","0"
"1996","Female","25 to 34","Rape/sexual assault","110,576","62,958","158,195","24,295","0"
"1997","Female","25 to 34","Rape/sexual assault","112,184","57,746","166,622","27,775","0"
"1998","Female","25 to 34","Rape/sexual assault","59,606","27,890","91,322","16,182","0"
"1999","Female","25 to 34","Rape/sexual assault","113,690","59,294","168,086","27,754","0"
"2000","Female","25 to 34","Rape/sexual assault","73,265","33,846","112,683","20,112","0"
"2001","Female","25 to 34","Rape/sexual assault","38,566","12,350","64,782","13,376","0"
"2002","Female","25 to 34","Rape/sexual assault","21,065","3,019","39,110","9,207","1"
"2003","Female","25 to 34","Rape/sexual assault","69,502","30,250","108,754","20,027","0"
"2004","Female","25 to 34","Rape/sexual assault","27,416","5,595","49,237","11,133","1"
"2005","Female","25 to 34","Rape/sexual assault","25,349","3,157","47,540","11,322","1"
"2006","Female","25 to 34","Rape/sexual assault","49,188","16,841","81,535","16,504","0"
"2007","Female","25 to 34","Rape/sexual assault","47,081","21,311","72,851","13,148","0"
"2008","Female","25 to 34","Rape/sexual assault","50,686","12,078","89,294","19,699","1"
"2009","Female","25 to 34","Rape/sexual assault","29,435","2,578","56,291","13,703","1"
"2010","Female","25 to 34","Rape/sexual assault","51,661","17,644","85,678","17,356","0"
"2011","Female","25 to 34","Rape/sexual assault","39,776","12,546","67,006","13,893","0"
"2012","Female","25 to 34","Rape/sexual assault","32,397","6,447","58,347","13,240","0"
"2013","Female","25 to 34","Rape/sexual assault","55,279","19,164","91,394","18,426","0"
"2014","Female","25 to 34","Rape/sexual assault","88,461","40,213","136,709","24,617","0"
"2015","Female","25 to 34","Rape/sexual assault","134,949","68,807","201,091","33,747","0"
"2016","Female","25 to 34","Rape/sexual assault","102,028","55,976","148,080","23,496","0"
"2017","Female","25 to 34","Rape/sexual assault","48,616","18,860","78,371","15,182","0"
"2018","Female","25 to 34","Rape/sexual assault","154,997","92,465","217,529","31,905","0"
"2019","Female","25 to 34","Rape/sexual assault","43,724","14,902","72,546","14,705","0"
"2020","Female","25 to 34","Rape/sexual assault","64,003","28,450","99,556","18,140","0"
"2021","Female","25 to 34","Rape/sexual assault","90,031","51,301","128,761","19,761","0"
"2022","Female","25 to 34","Rape/sexual assault","87,888","43,646","132,131","22,573","0"
"1993","Female","25 to 34","Robbery","254,643","162,136","347,151","47,199","0"
"1994","Female","25 to 34","Robbery","134,422","81,899","186,944","26,798","0"
"1995","Female","25 to 34","Robbery","144,217","91,404","197,030","26,946","0"
"1996","Female","25 to 34","Robbery","169,478","106,585","232,371","32,089","0"
"1997","Female","25 to 34","Robbery","97,196","47,478","146,914","25,367","0"
